ItemGroup,Item,Site,Item_location,Family_Code,Week,Year,Week_Year,Demand,Prod_Start,POs,R_Create_Date,Receipts,Inventory_PO,Inventory_R,Demand_I,Demand_R,Demand_RI,Inventory_D,Inventory,Transfer_In,Transfer_Out,SS_Weeks,WOS,Sim_Inv,Sim_WOS,VendorId,Week_Date
FBGB,20061751058,3200,20061751058_3200,900BR,9,2024,9_2024,14,0,0,null,0,20,0,0,0,0,0,20,0,0,7,1.59,20,1.59,20008777,3/3/2024
FBGB,20061751001,3200,20061751001_3200,900BR,9,2024,9_2024,1,0,0,null,0,1,0,0,0,0,0,1,0,0,7,1,1,1,20008777,3/3/2024
FBGB,20061751057,3010,20061751057_3010,900BR,9,2024,9_2024,15,0,0,null,0,-12,0,0,0,0,0,-12,0,0,7,-0.86,-12,-0.86,20008777,3/3/2024
FBGB,20061751033,3200,20061751033_3200,900BR,9,2024,9_2024,3,0,0,null,0,31,0,0,0,0,0,31,0,0,7,13.64,31,13.64,20008777,3/3/2024
FBGB,20061751065,3210,20061751065_3210,900BR,9,2024,9_2024,12,0,0,null,0,-10,0,0,0,0,0,-10,0,0,7,-0.92,-10,-0.92,20008777,3/3/2024
FBGB,20061751061,3010,20061751061_3010,900BR,9,2024,9_2024,3,0,0,null,0,5,0,0,0,0,0,5,0,0,7,1.67,5,1.67,20008777,3/3/2024
FBGB,20061751065,3000,20061751065_3000,900BR,9,2024,9_2024,19,0,0,null,0,-14,0,0,0,0,0,-14,0,0,7,-0.81,-14,-0.81,20008777,3/3/2024
FBGB,20061751065,3010,20061751065_3010,900BR,9,2024,9_2024,15,0,0,null,0,106,0,0,0,0,0,106,0,0,7,7.83,106,7.83,20008777,3/3/2024
FBGB,20061751033,3000,20061751033_3000,900BR,9,2024,9_2024,5,0,0,null,0,28,0,0,0,0,0,28,0,0,7,5.6,28,5.6,20008777,3/3/2024
FBGB,20061751052,3000,20061751052_3000,900BR,9,2024,9_2024,15,0,0,null,0,10,0,0,0,0,0,10,0,0,7,0.72,10,0.72,20008777,3/3/2024
FBGB,20061751061,3200,20061751061_3200,900BR,10,2024,10_2024,6,0,0,null,0,2,0,0,0,0,0,2,0,0,7,0.35,2,0.35,20008777,3/10/2024
FBGB,20061751001,3220,20061751001_3220,900BR,10,2024,10_2024,1,0,0,11/10/2023,2,3,0,0,0,0,0,3,0,0,7,3,5,5,20008777,3/10/2024
FBGB,20061751033,3220,20061751033_3220,900BR,10,2024,10_2024,4,0,0,11/10/2023,8,3,0,0,0,0,0,3,0,0,7,0.75,3,0.75,20008777,3/10/2024
FBGB,20061751052,3210,20061751052_3210,900BR,10,2024,10_2024,13,0,0,null,0,38,0,0,0,0,0,38,0,0,7,3.12,38,3.12,20008777,3/10/2024
FBGB,20061751001,3210,20061751001_3210,900BR,10,2024,10_2024,1,0,0,null,0,-1,0,0,0,0,0,-1,0,0,7,-1,-1,-1,20008777,3/10/2024
FBGB,20061751053,3000,20061751053_3000,900BR,10,2024,10_2024,18,0,0,11/10/2023,26,-1,0,0,0,0,0,-1,0,0,7,-0.06,25,1.49,20008777,3/10/2024
FBGB,20061751053,3010,20061751053_3010,900BR,10,2024,10_2024,13,0,0,null,0,-2,0,0,0,0,0,-2,0,0,7,-0.17,-2,-0.17,20008777,3/10/2024
FBGB,20061751065,3200,20061751065_3200,900BR,10,2024,10_2024,10,0,0,null,0,-2,0,0,0,0,0,-2,0,0,7,-0.22,-2,-0.22,20008777,3/10/2024
FBGB,20061751002,3200,20061751002_3200,900BR,10,2024,10_2024,1,0,0,null,0,2,0,0,0,0,0,2,0,0,7,2,2,2,20008777,3/10/2024
FBGB,20061751033,3210,20061751033_3210,900BR,10,2024,10_2024,4,0,0,null,0,-7,0,0,0,0,0,-7,0,0,7,-1.75,-7,-1.75,20008777,3/10/2024
FBGB,20061751058,3010,20061751058_3010,900BR,10,2024,10_2024,15,0,0,null,0,-24,0,0,0,0,0,-24,0,0,7,-1.78,-24,-1.78,20008777,3/10/2024
FBGB,20061751057,3220,20061751057_3220,900BR,10,2024,10_2024,14,0,0,11/10/2023,24,-26,0,0,0,0,0,-26,0,0,7,-2.03,-2,-0.16,20008777,3/10/2024
FBGB,20061751058,3220,20061751058_3220,900BR,10,2024,10_2024,14,0,0,11/10/2023,24,-21,0,0,0,0,0,-21,0,0,7,-1.58,3,0.23,20008777,3/10/2024
FBGB,20061751002,3210,20061751002_3210,900BR,10,2024,10_2024,1,0,0,null,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20008777,3/10/2024
FBGB,20061751053,3220,20061751053_3220,900BR,10,2024,10_2024,10,0,0,11/10/2023,16,23,0,0,0,0,0,23,0,0,7,2.61,39,4.42,20008777,3/10/2024
FBGB,20061751002,3220,20061751002_3220,900BR,10,2024,10_2024,1,0,0,11/10/2023,2,2,0,0,0,0,0,2,0,0,7,2,4,4,20008777,3/10/2024
FBGB,20061751061,3000,20061751061_3000,900BR,10,2024,10_2024,8,0,0,11/10/2023,2,-11,0,0,0,0,0,-11,0,0,7,-1.38,-9,-1.13,20008777,3/10/2024
FBGB,20061751001,3010,20061751001_3010,900BR,10,2024,10_2024,1,0,0,null,0,7,0,0,0,0,0,7,0,0,7,7,7,7,20008777,3/10/2024
FBGB,20061751052,3220,20061751052_3220,900BR,10,2024,10_2024,7,0,0,11/10/2023,16,11,0,0,0,0,0,11,0,0,7,1.75,27,4.3,20008777,3/10/2024
FBGB,20061751057,3210,20061751057_3210,900BR,10,2024,10_2024,16,0,0,null,0,-18,0,0,0,0,0,-18,0,0,7,-1.25,-18,-1.25,20008777,3/10/2024
FBGB,20061751058,3210,20061751058_3210,900BR,10,2024,10_2024,16,0,0,null,0,20,0,0,0,0,0,20,0,0,7,1.38,20,1.38,20008777,3/10/2024
FBGB,20061751033,3010,20061751033_3010,900BR,10,2024,10_2024,3,0,0,null,0,30,0,0,0,0,0,30,0,0,7,11.38,30,11.38,20008777,3/10/2024
FBGB,20061751052,3010,20061751052_3010,900BR,10,2024,10_2024,11,0,0,null,0,16,0,0,0,0,0,16,0,0,7,1.56,16,1.56,20008777,3/10/2024
FBGB,20061751053,3210,20061751053_3210,900BR,10,2024,10_2024,17,0,0,null,0,58,0,0,0,0,0,58,0,0,7,3.75,58,3.75,20008777,3/10/2024
FBGB,20061751052,3200,20061751052_3200,900BR,10,2024,10_2024,8,0,0,null,0,7,0,0,0,0,0,7,0,0,7,0.97,7,0.97,20008777,3/10/2024
FBGB,20061751001,3000,20061751001_3000,900BR,10,2024,10_2024,1,0,0,null,0,-2,0,0,0,0,0,-2,0,0,7,-2,-2,-2,20008777,3/10/2024
FBGB,20061751057,3000,20061751057_3000,900BR,10,2024,10_2024,21,0,0,11/10/2023,27,17,0,0,0,0,0,17,0,0,7,0.87,17,0.87,20008777,3/10/2024
FBGB,20061751057,3200,20061751057_3200,900BR,10,2024,10_2024,13,0,0,null,0,-6,0,0,0,0,0,-6,0,0,7,-0.51,-6,-0.51,20008777,3/10/2024
FBGB,20061751061,3210,20061751061_3210,900BR,10,2024,10_2024,12,0,0,null,0,-8,0,0,0,0,0,-8,0,0,7,-0.72,-8,-0.72,20008777,3/10/2024
FBGB,20061751061,3220,20061751061_3220,900BR,10,2024,10_2024,6,0,0,11/10/2023,6,-11,0,0,0,0,0,-11,0,0,7,-1.95,-5,-0.89,20008777,3/10/2024
FBGB,20061751058,3000,20061751058_3000,900BR,10,2024,10_2024,21,0,0,11/10/2023,27,18,0,0,0,0,0,18,0,0,7,0.93,45,2.31,20008777,3/10/2024
FBGB,20061751002,3000,20061751002_3000,900BR,10,2024,10_2024,1,0,0,null,0,2,0,0,0,0,0,2,0,0,7,2,2,2,20008777,3/10/2024
FBGB,20061751002,3010,20061751002_3010,900BR,10,2024,10_2024,1,0,0,null,0,6,0,0,0,0,0,6,0,0,7,6,6,6,20008777,3/10/2024
FBGB,20061751065,3220,20061751065_3220,900BR,10,2024,10_2024,9,0,0,11/10/2023,22,6,0,0,0,0,0,6,0,0,7,0.73,6,0.73,20008777,3/10/2024
FBGB,20061751053,3200,20061751053_3200,900BR,10,2024,10_2024,9,0,0,null,0,13,0,0,0,0,0,13,0,0,7,1.57,13,1.57,20008777,3/10/2024
FBGB,20061751058,3200,20061751058_3200,900BR,10,2024,10_2024,14,0,0,null,0,6,0,0,0,0,0,6,0,0,7,0.48,6,0.48,20008777,3/10/2024
FBGB,20061751001,3200,20061751001_3200,900BR,10,2024,10_2024,1,0,0,null,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20008777,3/10/2024
FBGB,20061751057,3010,20061751057_3010,900BR,10,2024,10_2024,15,0,0,null,0,-27,0,0,0,0,0,-27,0,0,7,-1.94,-27,-1.94,20008777,3/10/2024
FBGB,20061751033,3200,20061751033_3200,900BR,10,2024,10_2024,3,0,0,null,0,28,0,0,0,0,0,28,0,0,7,12.83,28,12.83,20008777,3/10/2024
FBGB,20061751065,3210,20061751065_3210,900BR,10,2024,10_2024,12,0,0,null,0,-22,0,0,0,0,0,-22,0,0,7,-2.03,-22,-2.03,20008777,3/10/2024
